dataset,instance_id,group_id,true_label,memory_majority_prediction,memory_weighted_prediction,memory_label_agreement,self_reference,all_refs_training,same_group_reference,reference_ids,reference_labels,reference_similarities
synthetic,winding_short_003_w360,winding_short_003,winding_short,winding_short,winding_short,1.0,False,True,False,"[""winding_short_038_w360"", ""winding_short_004_w360"", ""winding_short_042_w360""]","[""winding_short"", ""winding_short"", ""winding_short""]","[0.9946378366697061, 0.980724839314896, 0.9759289368087096]"
synthetic,winding_short_003_w480,winding_short_003,winding_short,winding_short,winding_short,1.0,False,True,False,"[""winding_short_026_w480"", ""winding_short_013_w480"", ""winding_short_037_w480""]","[""winding_short"", ""winding_short"", ""winding_short""]","[0.9986094968762165, 0.995313814457745, 0.9946840626046646]"
synthetic,winding_short_005_w300,winding_short_005,winding_short,winding_short,winding_short,1.0,False,True,False,"[""winding_short_019_w300"", ""winding_short_017_w300"", ""winding_short_035_w300""]","[""winding_short"", ""winding_short"", ""winding_short""]","[0.9986867816094389, 0.9980567038853646, 0.9964791028809794]"
synthetic,winding_short_025_w420,winding_short_025,winding_short,winding_short,winding_short,1.0,False,True,False,"[""winding_short_026_w420"", ""winding_short_020_w420"", ""winding_short_019_w420""]","[""winding_short"", ""winding_short"", ""winding_short""]","[0.997307639184524, 0.9940175418262809, 0.9929516592978533]"
synthetic,winding_short_036_w480,winding_short_036,winding_short,winding_short,winding_short,1.0,False,True,False,"[""winding_short_042_w480"", ""winding_short_030_w480"", ""winding_short_023_w480""]","[""winding_short"", ""winding_short"", ""winding_short""]","[0.9984101214905412, 0.9924789162434504, 0.9856969331881185]"
synthetic,winding_short_043_w360,winding_short_043,winding_short,winding_short,winding_short,1.0,False,True,False,"[""winding_short_024_w360"", ""winding_short_008_w360"", ""winding_short_014_w360""]","[""winding_short"", ""winding_short"", ""winding_short""]","[0.9986506279938439, 0.9978727973428557, 0.997122875285189]"
synthetic,winding_short_043_w420,winding_short_043,winding_short,winding_short,winding_short,1.0,False,True,False,"[""winding_short_010_w420"", ""winding_short_045_w420"", ""winding_short_042_w420""]","[""winding_short"", ""winding_short"", ""winding_short""]","[0.9935136488337942, 0.993382456526998, 0.9905487812857318]"
synthetic,bearing_friction_007_w300,bearing_friction_007,bearing_friction,bearing_friction,bearing_friction,1.0,False,True,False,"[""bearing_friction_026_w300"", ""bearing_friction_047_w300"", ""bearing_friction_029_w300""]","[""bearing_friction"", ""bearing_friction"", ""bearing_friction""]","[0.9977780439123428, 0.9971050582518228, 0.9961176042713957]"
synthetic,bearing_friction_010_w300,bearing_friction_010,bearing_friction,bearing_friction,bearing_friction,1.0,False,True,False,"[""bearing_friction_031_w300"", ""bearing_friction_030_w300"", ""bearing_friction_004_w300""]","[""bearing_friction"", ""bearing_friction"", ""bearing_friction""]","[0.9973266407421626, 0.9971250729992764, 0.9971052924036625]"
synthetic,bearing_friction_020_w360,bearing_friction_020,bearing_friction,bearing_friction,bearing_friction,1.0,False,True,False,"[""bearing_friction_032_w360"", ""bearing_friction_001_w360"", ""bearing_friction_041_w360""]","[""bearing_friction"", ""bearing_friction"", ""bearing_friction""]","[0.9981053219415488, 0.997762853249713, 0.9938509612217057]"
